Year,Country (Final Name),Country ID,Country,Type of appeal,Type of Response,Appeal,Required (US$),Funded (US$), Coverage (%) ,Comments,Links
2005,Chad,TD,Chad,Appeal,CAP,Chad 2005,"227,333,619","138,657,911",61,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2005_chad_eng_11.pdf
2005,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,RRP,Great Lakes Region 2005,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-humanitarian-appeal-2005-great-lakes
2005,Uganda,UG,Uganda,Appeal,CAP,Uganda 2005,"188,777,892","146,212,606",77.5,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2005_uganda.pdf
2005,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region 2005,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-humanitarian-appeal-2005-great-lakes
2005,El Salvador,SV,El Salvador,Other Appeal,JRP,El Salvador Joint UN Agency Appeal 2005,"13,704,547","3,858,988",28.2,JRP in response to flooding and volcanic erruptions,https://reliefweb.int/sites/reliefweb.int/files/resources/12A6C3FB82A15DFFC12570930035F3AF-OCHA-sal-06oct.pdf
2006,Burkina Faso,BF,Burkina Faso,Appeal,RRP,West Africa 2006,11760503,3237947,27.53,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Burundi,BI,Burundi,Appeal,CAP,Burundi 2006,"118,635,086","53,845,392",45.4,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_burundi_11.pdf
2006,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region 2006,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_glr_1.pdf
2006,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,HAP,Democratic Republic of the Congo Action Plan 2006,"696,024,728","354,195,238",50.9,Action Plan,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2006_drc_actionplan_11.pdf
2006,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region 2006,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_glr_1.pdf
2006,Central African Republic,CF,Central African Republic (the),Appeal,HRP,Central African Republic 2006,"38,015,050","23,989,707",63.1,,
2006,Republic of Congo,CG,Congo (the),Appeal,HRP,Republic of Congo 2006,"27,119,672","12,992,622",47.9,,
2006,Côte d’Ivoire,CI,Côte d'Ivoire,Appeal,CAP,Cote d'Ivoire 2006,"43,523,872","22,652,251",52.1,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_cdivoire_1.pdf
2006,Djibouti,DJ,Djibouti,Appeal,RRP,Horn of Africa 2006 ,9308326,7568666,81.31,,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_hornofafrica_1.pdf
2006,Eritrea,ER,Eritrea,Appeal,RRP,Horn of Africa 2006 ,18348120,14467143,78.85,,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_hornofafrica_1.pdf
2006,Ethiopia,ET,Ethiopia,Appeal,RRP,Horn of Africa 2006 ,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_hornofafrica_1.pdf
2006,Guinea,GN,Guinea,Appeal,CAP,Guinea 2006,"25,226,621","15,907,405",63.1,Consolidated appeal,https://www.humanitarianlibrary.org/sites/default/files/2014/02/CAP_ConsolidatedAppealForGuinea.pdf
2006,Guinea Bissau,GW,Guinea-Bissau,Appeal,Flash,Guinea-Bissau 2006 ,"3,640,000","2,038,130",56,Flash appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2006_guineabissau.pdf
2006,Guinea-Bissau,GW,Guinea-Bissau,Appeal,RRP,West Africa 2006,8430945,4448337,52.76,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Indonesia,ID,Indonesia,Appeal,HRP,Indonesia Earthquake Response Plan 2006,"80,111,735","42,759,643",53.4,Earthquake response plan,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2006_indonesia_earthquake_rp.pdf
2006,Kenya,KE,Kenya,Appeal,Flash,Kenya 2006,"35,252,275","36,914,174",104.7,Flash appeal for Somalian refugees in Kenya,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2006_kenya.pdf
2006,Kenya,KE,Kenya,Appeal,Flash,Kenya: 2006 November Floods,"53,744,639","35,343,384",65.8,,
2006,Kenya,KE,Kenya,Appeal,RRP,Horn of Africa 2006 ,52884862,16172826,30.58,,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_hornofafrica_1.pdf
2006,Lebanon,LB,Lebanon,Appeal,HRP,Lebanon Crisis 2006,"96,520,410","118,959,965",123.3,HRP,https://reliefweb.int/sites/reliefweb.int/files/resources/1286B6954D6FE132492571EE001E3786-ocha-lbn-14sep.pdf
2006,Liberia,LR,Liberia,Appeal,CAP,Liberia 2006,"145,191,413","74,761,245",51.5,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_liberia_11.pdf
2006,Mali,ML,Mali,Appeal,RRP,West Africa 2006,12328388,9214933,74.75,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Mauritania,MR,Mauritania,Appeal,RRP,West Africa 2006,18726614,16531976,88.28,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Niger,NE,Niger (the),Appeal,RRP,West Africa 2006,38076225,44803637,117.67,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Nepal,NP,Nepal,Appeal,CAP,Nepal 2005-2006,"67,588,618","57,136,704",84.5,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2005-2006_nepal_1.pdf
2006,Palestine,PS,"Palestine, State of",Appeal,CAP,occupied Palestinian territory 2006,"394,883,810","275,830,801",69.9,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_opt_1.pdf
2006,Rwanda,RW,Rwanda,Appeal,RRP,Great Lakes Region 2006,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_glr_1.pdf
2006,Sudan,SD,Sudan (the),Appeal,HWP,Sudan Work Plan 2006 (Humanitarian Action component),"1,595,020,717","1,076,865,997",67.5,Work plan,https://reliefweb.int/sites/reliefweb.int/files/resources/68C3C1B3C9B1E9058525712400733197-unct-sdn-01mar.pdf
2006,Senegal,SN,Senegal,Appeal,RRP,West Africa 2006,7509199,5865278,78.11,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Somalia,SO,Somalia,Appeal,CAP,Somalia 2006,"323,754,543","191,700,219",59.2,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_somalia_0.pdf
2006,Somalia,SO,Somalia,Appeal,Flash,Somalia: 2006 Flood Response Plan,"28,616,475","13,688,072",47.8,Floods response plan,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/somalia_2006_floodsresponseplan.pdf
2006,Somalia,SO,Somalia,Appeal,RRP,Horn of Africa 2006 ,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_hornofafrica_1.pdf
2006,Chad,TD,Chad,Appeal,CAP,Chad 2006,"193,368,356","155,575,153",80.5,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_chad_eng_11.pdf
2006,Togo,TG,Togo,Appeal,RRP,West Africa 2006,3490248,324472,9.3,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_westafrica.pdf
2006,Timor-Leste,TL,Timor-Leste,Appeal,Flash,Timor-Leste 2006,"24,236,207","25,079,379",103.5,Flash appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2006_timorleste_v1.1.pdf
2006,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,RRP,Great Lakes Region 2006,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_glr_1.pdf
2006,Uganda,UG,Uganda,Appeal,CAP,Uganda 2006,"263,446,401","225,981,865",85.8,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_uganda_1.pdf
2006,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region 2006,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_glr_1.pdf
2006,Zimbabwe,ZW,Zimbabwe,Appeal,CAP,Zimbabwe 2006,"425,812,834","273,431,388",64.2,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_zimbabwe.pdf
2006,Afghanistan,AF,Afghanistan,Other Appeal,JRP,Afghanistan Drought Joint Appeal 2006,"119,769,805","63,620,911",53.1,JRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/drought_2006_afghanistan_11.pdf
2006,Ethiopia,ET,Ethiopia,Other Appeal,HRP,Ethiopia 2006 Humanitarian Appeal (Joint Govt-NGO-UN),"350,735,786","252,082,449",71.9,Humanitarian appeal  ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2006_ethiopia.pdf
2006,Ethiopia,ET,Ethiopia,Other Appeal,JRP,Ethiopia Floods Joint Appeal 2006,"28,317,954","5,206,729",18.4,JRP,https://www.who.int/hac/crises/eth/sitreps/Ethiopia_floods_JointFloodFlashAppeal_August2006.pdf
2006,Ethiopia,ET,Ethiopia,Other Appeal,RRP,Ethiopia: 2006 Govt-UN Joint Emergency Flood Appeal for Somali Region,"7,502,719","3,743,188",49.9,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/un-jefa_2006_somali_regional_state.pdf
2006,Sri Lanka,LK,Sri Lanka,Other Appeal,HAP,Sri Lanka Common Humanitarian Action Plan 2006,"30,659,728","19,526,050",63.7,Common Humanitarian Action plan ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/chap_2006_sri_lanka.pdf
2006,Philippines,PH,Philippines (the),Other Appeal,CAP,Philippines 2006 Typhoon Appeal,"48,703,941","7,218,561",14.8,Consolidated appeal - Typhoon appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2006_philippines_typhoon.pdf
2006,Russia,RU,Russian Federation (the),Other Appeal,TWP,North Caucasus Transitional Workplan 2006,81940805,56478996,68.93,Supporting people in need in Chechnya and Ingushetia (both Russian republics),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/revision_2006_ncaucasus_workplan.pdf
2006,Tajikistan,TJ,Tajikistan,Other Appeal,HRP,Tajikistan Earthquake 2006,"1,000,000","63,613",6.4,HRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2006_tajikistan_earthquake.pdf
2007,Burkina Faso,BF,Burkina Faso,Appeal,Flash,Burkina Faso Floods Flash Appeal 2007,"5,967,000","1,257,284",21.1,Flash appeal in response to floods,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_burkinafaso_11.pdf
2007,Burkina Faso,BF,Burkina Faso,Appeal,RRP,West Africa 2007,21627280,10753570,49.72,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Burundi,BI,Burundi,Appeal,CAP,Burundi 2007,"145,242,337","116,823,032",80.4,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_burundi_vol1_11.pdf
2007,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region 2007,,,,FTS only provides the breakdown of requirement and funding of the Great Lakes appeals to Rwanda and Tanzania.,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-appeal-2007-great-lakes-region
2007,Benin,BJ,Benin,Appeal,RRP,West Africa 2007,1606150,1606150,100,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Bolivia,BO,Bolivia (Plurinational State of),Appeal,Flash,Bolivia Flash Appeal 2007,"14,295,320","7,926,607",55.5,,
2007,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,HAP,Democratic Republic of the Congo 2007 Humanitarian Action Plan,"686,591,107","463,818,035",67.6,HAP,https://reliefweb.int/report/burundi/humanitarian-action-plan-2007-democratic-republic-congo
2007,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region 2007,,,,FTS only provides the breakdown of requirement and funding of the Great Lakes appeals to Rwanda and Tanzania.,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-appeal-2007-great-lakes-region
2007,Central African Republic,CF,Central African Republic (the),Appeal,CAP,Central African Republic 2007,"91,406,943","68,193,940",74.6,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_car_1.pdf
2007,Republic of Congo,CG,Congo (the),Appeal,HRP,Republic of Congo 2007,"22,172,805","13,302,259",60,,
2007,Côte d’Ivoire,CI,Côte d'Ivoire,Appeal,HRP,Cote d'Ivoire 2007,"55,271,244","32,093,090",58.1,,
2007,Côte d'Ivoire,CI,Côte d'Ivoire,Appeal,RRP,West Africa 2007,1017000,3818321,375.45,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Cape Verde,CV,Cabo Verde,Appeal,RRP,West Africa 2007,565000,0, -   ,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Dominican Republic,DO,Dominican Republic (the),Appeal,Flash,Dominican Republic Flash Appeal 2007,"18,568,826","7,638,866",41.1,Flash appeal in response to Tropical Storm Noel,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_dominicanrepublic.pdf
2007,Ghana,GH,Ghana,Appeal,Flash,Ghana Floods Flash Appeal 2007,"12,410,092","8,160,259",65.8,Flash appeal in response to floods,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_ghana.pdf
2007,Ghana,GH,Ghana,Appeal,RRP,West Africa 2007,874182,952767,108.99,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Guinea,GN,Guinea,Appeal,RRP,West Africa 2007,21356802,19613744,91.84,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Guinea-Bissau,GW,Guinea-Bissau,Appeal,RRP,West Africa 2007,9625090,7934188,82.43,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Korea (the Democratic People's Republic of),KP,Korea (the Democratic People's Republic of),Appeal,Flash,Korea DPR Flash Appeal: Floods Emergency 2007,"14,527,967","13,125,458",90.4,Flash appeal in response to floods,https://reliefweb.int/sites/reliefweb.int/files/resources/2F01D63EDF757963492573450002DA29-Full_Report.pdf
2007,Liberia,LR,Liberia,Appeal,HAP,Liberia Common Humanitarian Action Plan 2007,"109,919,489","68,920,424",62.7,Common Humanitarian Action plan ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/chap_2007_liberia_11.pdf
2007,Liberia,LR,Liberia,Appeal,RRP,West Africa 2007,15223613,23638958,155.28,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Lesotho,LS,Lesotho,Appeal,Flash,Lesotho Drought Flash Appeal 2007,"22,815,106","17,340,318",76,Flash appeal in response to droughts,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_lesotho.pdf
2007,Madagascar,MG,Madagascar,Appeal,Flash,Madagascar Floods Flash Appeal 2007,"19,466,802","17,062,045",87.7,Flash appeal in response to floods,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_madagascar.pdf
2007,Mali,ML,Mali,Appeal,RRP,West Africa 2007,19755994,9155718,46.34,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Mauritania,MR,Mauritania,Appeal,RRP,West Africa 2007,23049215,17446352,75.69,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Mozambique,MZ,Mozambique,Appeal,Flash,Mozambique Floods and Cyclone Flash Appeal 2007,"38,677,251","26,582,033",68.7,Flash appeal in response to floods and cyclones,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_mozambique.pdf
2007,Niger,NE,Niger (the),Appeal,RRP,West Africa 2007,51782808,20855001,40.27,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Nicaragua,NI,Nicaragua,Appeal,Flash,Nicaragua Flash Appeal 2007,"41,741,360","18,321,419",43.9,Flash appeal in response to Hurricane Felix,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_nicaragua.pdf
2007,Peru,PE,Peru,Appeal,Flash,Peru Earthquake Flash Appeal 2007,"37,826,763","21,245,273",56.2,Flash appeal in response to earthquake,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_peru.pdf
2007,Pakistan,PK,Pakistan,Appeal,Flash,Pakistan Cyclone and Floods Flash Appeal 2007,"42,922,297","20,902,008",48.7,Flash appeal in response to cyclone and floods,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_pakistan.pdf
2007,Palestine,PS,"Palestine, State of",Appeal,CAP,occupied Palestinian territory 2007,"426,324,665","277,424,878",65.1,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_opt_vol1_1.pdf
2007,Rwanda,RW,Rwanda,Appeal,RRP,Great Lakes Region 2007,12463565,19924392,62.6,FTS only provides the breakdown of requirement and funding of the Great Lakes appeals to Rwanda and Tanzania.,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-appeal-2007-great-lakes-region
2007,Sudan,SD,Sudan (the),Appeal,Flash,Sudan Flash Appeal: Flood Response 2007,"34,651,239","12,473,674",36,Flash appeal in response to flooding,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_sudan.pdf
2007,Sudan ,SD,Sudan (the),Appeal,HAP,Sudan Work Plan 2007 (Humanitarian Action component) ,"1,333,440,796","1,087,170,043",81.5,,
2007,Sierra Leone,SL,Sierra Leone,Appeal,RRP,West Africa 2007,7579317,6614790,87.27,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Senegal,SN,Senegal,Appeal,RRP,West Africa 2007,13346146,5385626,40.35,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Somalia,SO,Somalia,Appeal,CAP,Somalia 2007,"383,875,152","307,890,809",80.2,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_somalia_vol1_1.pdf
2007,Swaziland,SZ,Eswatini,Appeal,Flash,Swaziland Drought Flash Appeal 2007,"18,710,457","14,335,743",76.6,Flash appeal in response to drought ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_swaziland.pdf
2007,Chad,TD,Chad,Appeal,CAP,Chad 2007,"277,415,892","277,378,956",100,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_chad_vol1_13.pdf
2007,Togo,TG,Togo,Appeal,RRP,West Africa 2007,3923960,7893281,201.16,RRP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_westafrica_vol1.pdf
2007,Timor-Leste,TL,Timor-Leste,Appeal,CAP,Timor-Leste 2007,"36,346,541","24,082,872",66.3,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_timor-leste_1.pdf
2007,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,RRP,Great Lakes Region 2007,36169793,38964881,92.8,FTS only provides the breakdown of requirement and funding of the Great Lakes appeals to Rwanda and Tanzania.,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-appeal-2007-great-lakes-region
2007,Uganda,UG,Uganda,Appeal,CAP,Uganda 2007,"350,520,867","279,512,549",79.7,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_uganda_vol1_1.pdf
2007,Uganda,UG,Uganda,Appeal,Flash,Uganda Floods Flash Appeal 2007,"41,469,801","20,405,340",49.2,Flash appeal in response to floods,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_uganda.pdf
2007,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region 2007,,,,FTS only provides the breakdown of requirement and funding of the Great Lakes appeals to Rwanda and Tanzania.,https://reliefweb.int/report/burundi/consolidated-appeals-process-cap-appeal-2007-great-lakes-region
2007,Zambia,ZM,Zambia,Appeal,Flash,Zambia Floods Flash Appeal 2007,"8,852,453","1,101,840",12.5,Flash appeal in response to flooding ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2007_zambia.pdf
2007,Zimbabwe,ZW,Zimbabwe,Appeal,CAP,Zimbabwe 2007,"395,551,054","229,183,189",57.9,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2007_zimbabwe_vol1.pdf
2007,Iraq,IQ,Iraq,Other Appeal,JRP,Iraq Health Sector Appeal 2007: Meeting the Health Needs of Iraqis Displaced in Neighbouring Countries,"84,852,332","1,557,135",1.8,"Joint Appeal by UNFPA, UNHCR, UNICEF, WFP and WHO",https://reliefweb.int/sites/reliefweb.int/files/resources/2F36EDA55EDCF660C125735A004999B0-Full_Report.pdf
2007,Lebanon,LB,Lebanon,Other Appeal,HRP,Lebanon Crisis Appeal 2007,"13,083,469","20,294,953",155.1,HRP,https://reliefweb.int/report/lebanon/lebanon-crisis-appeal-update-may-2007
2007,Sri Lanka,LK,Sri Lanka,Other Appeal,HAP,Sri Lanka Common Humanitarian Action Plan 2007,"131,073,664","100,338,132",76.6,Common Humanitarian Action plan ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/chap_2007_sri_lanka_10.pdf
2007,Nepal,NP,Nepal,Other Appeal,HTP,Nepal Common Appeal for Transition Support 2007,"102,949,868","70,590,557",68.6,Common Appeal for Transition Support ,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2007_nepal_common_appeal.pdf
2007,Russia,RU,Russian Federation (the),Other Appeal,TWP,North Caucasus Transitional Workplan 2007,58643737,41305555,70.43,Supporting people in need in Chechnya and Ingushetia (both Russian republics),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2007_ncaucasusrf_workplan.pdf
2007,Solomon Islands,SB,Solomon Islands,Other Appeal,Other,Solomon Islands Earthquake and Tsunami - UNICEF Appeal 2007,"500,000","876,943",175.4,Other,https://reliefweb.int/sites/reliefweb.int/files/resources/1403592670A7204C492572DF002326B1-Full_Report.pdf
2008,Burkina Faso,BF,Burkina Faso,Appeal,RRP,West Africa 2008,33542715,21634936,64.5,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Benin,BJ,Benin,Appeal,RRP,West Africa 2008,3456000,224627,6.5,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Bolivia,BO,Bolivia (Plurinational State of),Appeal,Flash,Bolivia Flash Appeal 2008 [unrevised as of Oct. 2008; appeal closed at 80% funding and unmet requirements reduced to zero],"14,603,307","14,603,307",100,Flash appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2008_bolivia_11.pdf
2008,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,HAP,Democratic Republic of the Congo 2008 Humanitarian Action Plan,"736,511,765","607,264,789",82.5,HAP,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/2008_drc_actionplan_fr_10.pdf
2008,Central African Republic,CF,Central African Republic (the),Appeal,CAP,Central African Republic 2008,"119,685,685","109,248,549",91.3,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2008_car_vol1_1.pdf
2008,Côte d’Ivoire,CI,Côte d'Ivoire,Appeal,CAP,Côte d'voire 2008,"58,099,693","27,061,328",46.6,Consolidated appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/cap_2008_cdivoire_1.pdf
2008,Georgia,GE,Georgia,Appeal,Flash,Georgia Crisis Flash Appeal (Revised) 2008,"114,260,753","72,987,948",63.9,Flash appeal,https://reliefweb.int/report/georgia/consolidated-appeals-process-cap-revision-georgia-crisis-flash-appeal-2008
2008,Ghana,GH,Ghana,Appeal,RRP,West Africa 2008,19481357,9799475,50.3,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Gambia,GM,Gambia (the),Appeal,RRP,West Africa 2008,1262963,1323150,104.77,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Guinea,GN,Guinea,Appeal,RRP,West Africa 2008,42864952,32622119,76.1,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Guinea-Bissau,GW,Guinea-Bissau,Appeal,RRP,West Africa 2008,5328331,6846216,128.49,RRP (Consolidated appeal),https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/myr_2008_westafrica.pdf
2008,Honduras,HN,Honduras,Appeal,Flash,Honduras Flash Appeal (Updated) (November - April) 2008,"17,086,986","6,000,252",35.1,Flash appeal,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2008_honduras.pdf
